Name,Title,Company,Type,Industry,ICP Score,ICP Fit,Reasoning
Representative,Conference Attendee,Hendrickson,Attendee,,45,Low,"Hendrickson is a prime industry match as a large-scale manufacturer of heavy-duty components with a likely need for field service and aftermarket automation. While the company size and industry are perfect, the attendee data lacks a specific target title or department, resulting in a score below the high-fit threshold."
Team (5),Conference Attendee,ASML/Cymer,Attendee,,75,High,"ASML/Cymer is an ideal candidate as their core business involves manufacturing and maintaining highly complex semiconductor equipment, which requires a massive field service infrastructure. While specific titles are generic, the enterprise size and industry vertical are perfect matches for field service automation."
Team (3),Conference Attendee,DC Water and Sewer Authority,Attendee,,65,Medium,"DC Water is a perfect industry and size match, representing a sector with heavy field operations and infrastructure maintenance requirements. While specific attendee titles are not provided, the company's scale and utility focus suggest a strong departmental alignment with field service automation and operations."
Representative,Conference Attendee,HomeServe,Attendee,,100,High,"HomeServe is a perfect ICP match as it operates a massive enterprise field service and HVAC network, aligning with multiple target industries. The presence of a Senior Vice President in an Energy Services (Service Operations) role provides a high-level entry point within a target department."
Representative,Conference Attendee,Bell And Howell,Attendee,,100,High,"Bell and Howell is an ideal candidate as they operate directly in the industrial automation and field service sectors with over 1,000 employees. The speaker's role as SVP of Digital Technology and Data Analytics perfectly aligns with the target persona for adopting field service AI and automation."
Representative,Conference Attendee,Diebold Nixdorf,Attendee,,100,High,"Diebold Nixdorf is a perfect ICP fit as it manages a massive global field service workforce for ATM and POS maintenance, aligning with the Industrial Equipment and Field Service categories. The presence of a North American VP of Services as a speaker provides direct access to a high-level decision-maker in a target department and geography."
Team (2),Conference Attendee,Honeywell,Attendee,,100,High,"Honeywell is a Tier 1 enterprise target that aligns perfectly across all ICP criteria, specifically in manufacturing, aerospace, and building automation. The presence of two high-level service and digital leaders as speakers indicates a strategic focus on service innovation, making them a prime candidate for field service AI solutions."
Representative,Conference Attendee,Bell Techlogix,Attendee,,100,High,"Bell Techlogix is a perfect match as they operate a large-scale field service organization within the IT sector, and the lead contact is a VP-level executive specifically over Global Field Services. The company exceeds the employee threshold and the presence of a high-level speaker confirms their strategic relevance."
Representative,Conference Attendee,DSL Ltd.,Attendee,,85,High,"DSL Ltd. is a strong match for the Field Service industry and geography, and the lead is a high-priority decision-maker (VP of Service) who participated as a speaker. The score is only tempered by the company size being below the 500-employee threshold specified in the ICP."
Team (6),Conference Attendee,HORIBA Instruments Incorporated,Attendee,,55,Medium,"HORIBA is a strong industry match as a manufacturer of complex analytical equipment that requires high-touch field service and maintenance. While the attendee data lacks specific leadership titles and department details, the company's size and technical product line suggest a significant need for field service automation."
Representative,Conference Attendee,Biotronics 3D,Attendee,,70,Medium,"Biotronics 3D is a perfect industry match and the contact is a high-authority C-level speaker. However, the company size of 50 employees is well below the target minimum of 500, which significantly lowers the overall fit score for enterprise-scale field service automation."
Representative,Conference Attendee,EchoStar,Attendee,,65,Medium,"EchoStar is a high-intent enterprise account in the telecommunications sector with massive field service operations via DISH and Hughes. While the company is a perfect industry and size match, the specific attendee title lacks the required executive seniority for a high-level score."
Team (2),Conference Attendee,Hoshizaki America,Attendee,,45,Low,"Hoshizaki America is a strong company-level fit as a mid-market manufacturer of complex industrial equipment requiring maintenance. However, the current lead data lacks specific target titles and department names required to meet persona-level ICP criteria."
Representative,Conference Attendee,Blue Frontier,Attendee,,30,Low,"Blue Frontier is a perfect industry match within the HVAC and Clean Tech sectors, but it significantly fails the minimum company size requirement of 500 employees. Additionally, the provided attendee information lacks a qualifying target job title or department, resulting in a low score."
Team (2),Conference Attendee,Ecolab,Attendee,,100,High,Ecolab is a premier fit due to its massive global field workforce and alignment with target sectors like Energy and Healthcare. The presence of VP-level speakers from both Digital and Operations departments indicates a mature buyer persona for field service AI and automation solutions.
Representative,Conference Attendee,HSG Laser,Attendee,,98,High,HSG Laser is a perfect industry fit as a manufacturer of complex industrial equipment that requires significant after-sales field service and maintenance. The presence of a President-level speaker provides high-authority access within a company that well exceeds the minimum size threshold.
Team (3),Conference Attendee,Bracco Medical Technologies,Attendee,,60,Medium,"Bracco Medical Technologies is a direct industry match and meets the minimum size requirement for a mid-market prospect. As a manufacturer of complex medical diagnostic hardware, they have a high-value field service use case, although the specific attendee titles were not detailed in the input."
Team (2),Conference Attendee,EMSAR,Attendee,,100,High,"EMSAR is a perfect ICP match as an independent service organization (ISO) specializing in medical and mission-critical equipment maintenance. With C-level representation as speakers and a company size exceeding the 500-employee threshold, they are a primary target for field service AI and automation solutions."
Representative,Conference Attendee,HYTEC,Attendee,,73,Medium,"The company operates in a relevant technical field service niche and the lead holds an ideal VP title with a speaker bonus. However, the company size of 120 is substantially below the target minimum threshold of 500 employees, preventing a high-fit rating."
Representative,Conference Attendee,C&D Industrial Maintenance,Attendee,,30,Low,"The company is a perfect industry match as it provides field-based mechanical maintenance for the energy and chemical sectors. However, it fails to meet the minimum company size requirement of 500 employees, and the attendee lacks a target job title and department designation."
Representative,Conference Attendee,Exponential Power,Attendee,,65,Medium,"Exponential Power is a high-fit industry match as a provider of critical field services for industrial power systems, and the contact holds a target executive title (SVP). However, the company size is below the 500-employee minimum threshold and the specific department (Business Development) is not among the primary targets."
Team (15),Conference Attendee,IBM,Attendee,,100,High,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation."
Representative,Conference Attendee,Cincinnati Incorporated,Attendee,,85,High,"Cincinnati Incorporated is a perfect industry and department match with a high-level Director lead. Although the company size of 400 is slightly below the 500-employee minimum threshold, the speaker status and target sector alignment indicate a high-quality prospect for field service automation."
Representative,Conference Attendee,Feiner Management,Attendee,,45,Low,"Feiner Management is a boutique advisory firm that fails the minimum company size requirement and operates in consulting rather than a target industrial vertical. While the firm's specialization in service operations and the speaker status of the founder show strong topical relevance, they represent a strategic partner or influencer rather than a direct enterprise customer."
Representative,Conference Attendee,IGT,Attendee,,95,High,"IGT manufactures and maintains a global network of physical gaming and lottery terminals, placing them squarely within the Field Service and Industrial Equipment sector. The company meets the enterprise size criteria, and the lead is a high-level operations executive who was a speaker at the source event."
Representative,Conference Attendee,Illumina,Attendee,,100,High,"Illumina is a premier manufacturer of complex genomic sequencing hardware, which aligns perfectly with medical device field service needs. The presence of a VP of Service & Support at a massive enterprise scale makes this a tier-one target for automation."
Representative,Conference Attendee,Okuma America Corporation,Attendee,,85,High,"Okuma America is a direct industry match with a high-level VP from a relevant technical service department speaking at the event. Although the North American affiliate size (300) falls below the 500-employee threshold, the company's role as a major service provider for CNC technology makes it a high-quality prospect for field service automation."
Representative,Conference Attendee,Smith & Nephew,Attendee,,100,High,"Smith & Nephew is a perfect ICP fit, representing a large-scale enterprise in the medical technology sector with significant field service operations. The engagement of a Vice President & General Manager of Global Service as a speaker indicates high strategic value and decision-making authority in the target department."
Representative,Conference Attendee,Impell,Attendee,,85,High,"Impell is a strong match due to its presence in a core target industry and the involvement of a C-level speaker (COO). Although the company size of 250 falls below the 500-employee threshold, the strategic alignment with field service needs and executive-level interest justifies a High fit level."
Representative,Conference Attendee,Omron Corporation,Attendee,,100,High,Omron is a primary industry target with a massive enterprise footprint and a clear requirement for global service operations. The presence of the Head of Global Service as a speaker provides high-intent signals and fits the target title and department criteria perfectly.
Representative,Conference Attendee,Strategic Consultant,Attendee,,20,Low,"The company is a solo consultancy focused on employer branding and HR culture, which falls outside the target industrial sectors and department requirements. Additionally, the company size is significantly below the 500-employee minimum threshold for an ideal prospect."
Representative,Conference Attendee,IMS-Services,Attendee,,85,High,"IMS-Services is a near-perfect industry and department match, providing specialized field services for high-tech sectors like semiconductors and pharma. Although the company size (400) is slightly below the 500-employee minimum threshold, the presence of a Global Service Director as a speaker indicates high strategic value and executive intent."
Representative,Conference Attendee,"OnPoint Group, LLC",Attendee,,55,Medium,"OnPoint Group is a perfect industry match as a large-scale field service and industrial equipment provider. While the company size is ideal, the specific attendee title 'Conference Attendee' is generic and does not explicitly match the target seniority or department criteria, tempering the overall score."
Representative,Conference Attendee,Telaid,Attendee,,85,High,"Telaid is a strong match because the VP of Field Services is a speaker, indicating high-level engagement in a primary target department and industry. Although the company size of 300 is below the 500-employee threshold, the executive title and service-heavy business model align perfectly with field service automation needs."
Representative,Conference Attendee,Ipsen USA,Attendee,,55,Medium,"Ipsen USA is a strong firmographic match as a mid-market manufacturer of complex industrial equipment that inherently requires field service and aftermarket support. While the company size and industry are perfect, the specific attendee data lacks a target job title or department, resulting in a lower individual-level score despite the high organizational potential."
Representative,Conference Attendee,Orbem USA Inc,Attendee,,25,Low,"Orbem aligns well with target industries like medical technology and industrial automation due to its AI-driven MRI hardware. However, the company falls significantly short of the 500-employee minimum size requirement and the provided contact lacks a target leadership title."
Representative,Conference Attendee,Tetra Pak,Attendee,,100,High,"Tetra Pak is a perfect ICP fit as a massive enterprise manufacturer with a dedicated services division. The presence of an SVP of Global Processing Services indicates a high-level focus on field service and aftermarket solutions, aligning exactly with the target persona and department criteria."
Representative,Conference Attendee,JBT Marel,Attendee,,100,High,"JBT Marel is an enterprise-scale industrial equipment manufacturer with a global field service footprint for its specialized machinery. The lead holds a high-level North American leadership role in Customer Experience, which is a key department for implementing service-focused AI and automation solutions."
Team (8),Conference Attendee,Oxford Instruments,Attendee,,100,High,"Oxford Instruments is a high-tech manufacturing firm that perfectly aligns with the target industry, and the VP of Service for the Americas provides a direct match for the target title and department. With 2,000 employees and a featured speaker at the event, they represent a prime candidate for field service automation solutions."
Representative,Conference Attendee,The Coca Cola Company,Attendee,,95,High,The Coca Cola Company is a global manufacturing leader with significant field service needs related to its vast network of beverage dispensing and vending equipment. The presence of a Director of Service Operations as a speaker confirms high alignment with target personas and departments.
Team (2),Conference Attendee,Johnson Controls,Attendee,,100,High,"Johnson Controls is a premier target for field service AI, operating directly in the HVAC and Building Automation sectors with a massive enterprise scale. The presence of two VPs specifically focused on Service Operations and Life Cycle Solutions indicates a perfect alignment with the target buyer persona and department."
Team (3),Conference Attendee,Peak Scientific,Attendee,,75,High,"Peak Scientific is a high-fit target because they manufacture complex laboratory equipment requiring specialized maintenance and global field service operations. Although specific attendee titles are generic, a team of three at a conference indicates significant interest, and their business model (Peak Protected) is heavily centered on field service delivery."
Team (3),Conference Attendee,Toshiba Global Commerce Solutions,Attendee,,60,Medium,"Toshiba Global Commerce Solutions is a high-fit company by industry, as their core business involves large-scale field service and managed services for retail hardware. While the company size is ideal, the overall score is limited by the lack of specific seniority and department details for the individual attendees."
Representative,Conference Attendee,KLA,Attendee,,100,High,"KLA is a perfect ICP match as a large-scale industrial manufacturer with an executive speaker whose specific title (VP, Service Digital Solutions) aligns directly with field service automation. The company's size and industry focus on complex equipment maintenance make it a high-priority target for AI service solutions."
Representative,Conference Attendee,PremiStar,Attendee,,100,High,"PremiStar is a perfect ICP match, operating directly in core target industries like HVAC and Building Automation with a large workforce of 2,000 employees. The engagement features a high-level executive (President), fulfilling all criteria for industry, title, department, and size."
Team (2),Conference Attendee,Trane Technologies,Attendee,,100,High,"Trane Technologies is a perfect ICP match, operating in the target HVAC and building automation industries with a massive enterprise scale of 37,000 employees. The presence of high-level speakers in Service Operations and Building Services directly aligns with the target departments and titles for field service automation."
Representative,Conference Attendee,LiquiServe LLC,Attendee,,85,High,"LiquiServe is a perfect industry fit within field service and commercial equipment maintenance, and the President is a target decision-maker and featured speaker. The company fails to meet the minimum size requirement of 500 employees, but the high-level executive engagement and industry alignment maintain a high fit score."
Representative,Conference Attendee,Reiser,Attendee,,100,High,"Reiser is a perfect ICP match, operating in the industrial equipment manufacturing sector with 800 employees. The presence of a Vice President from the Global Service department as a speaker indicates both high-level title alignment and direct departmental relevance for field service automation."
Representative,Conference Attendee,Trystar,Attendee,,35,Low,"Trystar is a strong industry match within the industrial manufacturing sector, but the attendee's title is too generic and lacks the seniority required by the ICP. Additionally, the company size of 450 employees falls slightly below the specified 500-employee minimum threshold."
Representative,Conference Attendee,Magid Glove & Safety,Attendee,,45,Low,"Magid Glove & Safety is a strong industry match within Manufacturing and meets the minimum size requirement of 500+ employees. However, the provided attendee information lacks the specific high-level titles and target departments required by the ICP, resulting in a low lead-specific score."
Representative,Conference Attendee,Rich products,Attendee,,45,Low,"Rich Products is a major global manufacturer that fits the industry and company size criteria perfectly. However, the score is limited because the specific attendee's title and department are generic or unknown, failing to meet the target persona requirements."
Team (2),Conference Attendee,USIC,Attendee,,100,High,"USIC is a massive enterprise in the Utilities and Field Service sectors with 12,000 employees, exceeding size requirements. The contacts hold ideal VP and Director titles within target departments (Field Service and IT), and their status as conference speakers indicates high strategic alignment and authority."
Representative,Conference Attendee,Marsden Services,Attendee,,100,High,Marsden Services perfectly aligns with the ICP as an enterprise-scale field service provider specializing in mechanical and building maintenance across the USA. The presence of a President-level speaker from the Mechanical division represents a high-intent executive stakeholder within a core target department.
Representative,Conference Attendee,Sam Service,Attendee,,85,High,"The company is a perfect industry match within Field Service and HVAC, and the CEO's participation as a speaker provides high-value engagement potential. Although the company size of 80 is significantly below the 500-employee threshold, the title and departmental alignment are ideal for the specified profile."
Representative,Conference Attendee,Vertiv,Attendee,,60,Medium,"Vertiv is an enterprise-scale company that perfectly aligns with target industries like Industrial Equipment and Telecommunications due to its focus on servicing critical infrastructure. While the company is a high-value target, the specific attendee holds a generic title that does not explicitly match the targeted executive leadership criteria."
Representative,Conference Attendee,Mitsubishi Power,Attendee,,100,High,"Mitsubishi Power is a major enterprise in the energy sector with a significant focus on maintenance services, aligning perfectly with industry and size criteria. The speaker is a high-ranking Global VP in the Applications/Technology department, which is a primary decision-making hub for AI and automation software."
Team (2),Conference Attendee,Schneider Electric,Attendee,,100,High,"Schneider Electric is a perfect ICP match, operating in core target industries like Industrial/Building Automation and Energy with a massive enterprise footprint. The engagement from high-level VP and Director roles within Service Operations and Execution specifically aligns with the target departments and decision-maker personas."
Representative,Conference Attendee,Waters Corporation,Attendee,,85,High,"Waters Corporation is a major enterprise manufacturer of analytical instruments, fitting the size and industry criteria perfectly. While the speaker's title of 'Program Owner' is not an executive rank, the specific focus on 'Service AI' within the Service department signifies high strategic alignment and intent for field service automation solutions."
Team (4),Conference Attendee,Multivac,Attendee,,100,High,"Multivac is a perfect ICP match, representing a large-scale industrial manufacturer with executive leadership specifically focused on service and customer support. The presence of two high-level speakers from relevant departments indicates a strong strategic alignment and high potential for field service automation solutions."
Representative,Conference Attendee,Siemens,Attendee,,95,High,"Siemens is an ideal enterprise-scale match within the industrial automation and energy sectors. The prospect holds a target leadership title and is a speaker, indicating high influence, while the company's massive field service and infrastructure operations represent a primary use case for field service automation."
Representative,Conference Attendee,NCR Atleos,Attendee,,50,Medium,"NCR Atleos is an ideal enterprise-scale target due to its massive global ATM network and field service infrastructure, perfectly matching the target industry and size criteria. However, the specific lead lacks a target job title and department, which limits the score from an outreach perspective."
Team (3),Conference Attendee,Siemens Digital Industries Automation,Attendee,,100,High,"Siemens Digital Industries Automation is a premier enterprise target that perfectly matches the industry, size, and geographic criteria. With three high-level speakers in service execution and technical support, the company demonstrates deep alignment with field service automation and digital transformation needs."
Representative,Conference Attendee,"NeuroBuilt, LLC",Attendee,,25,Low,"While NeuroBuilt operates in a highly relevant field service niche involving medical imaging infrastructure, the company size (25) is significantly below the 500-employee minimum. Furthermore, the lack of a specific target job title or department for the attendee results in a low overall ICP score."
Representative,Conference Attendee,Siemens Smart Infrastructure,Attendee,,100,High,"Siemens Smart Infrastructure perfectly aligns with all target criteria, featuring a high-level EVP in the priority Services department within a primary target industry. The company's massive enterprise scale and active presence at the event as a speaker signify a premium, high-intent lead for field service automation."
Representative,Conference Attendee,Nokia,Attendee,,100,High,Nokia is a direct industry match with a massive enterprise footprint that far exceeds the minimum size requirement. The presence of a VP-level speaker specifically in Service Planning and Logistics represents a perfect departmental and persona alignment for field service automation.
Representative,Conference Attendee,Smart Care,Attendee,,100,High,"Smart Care is a perfect ICP fit as a large-scale field service provider with 2,000 employees, aligning with target industry and size requirements. The presence of the CEO (James Mylett) as a speaker provides a maximum title match and the speaker bonus."
